iShares Select Dividend ETF
Inception Date,"Nov 03, 2003"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"17,107,602,985.27"
Shares Outstanding,"187,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"OLN","OLIN CORP.","Equity","0.43","32.87","2,222,747.00","73,061,693.89","73,061,693.89","Materials","2658526","US6806652052","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.40","20.48","3,342,944.00","68,463,493.12","68,463,493.12","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"PBI","PITNEY BOWES INC","Equity","0.38","13.11","5,008,071.00","65,655,810.81","65,655,810.81","Industrials","2690506","US7244791007","New York Stock Exchange Inc."
"NI","NISOURCE INC","Equity","0.37","23.79","2,694,303.00","64,097,468.37","64,097,468.37","Utilities","2645409","US65473P1057","New York Stock Exchange Inc."
"NYCB","NEW YORK COMMUNITY BANCORP DS REP","Equity","0.34","13.97","4,169,573.00","58,248,934.81","58,248,934.81","Financials","2711656","US6494451031","New York Stock Exchange Inc."
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.34","18.20","3,196,073.00","58,168,528.60","58,168,528.60","Financials","B1W41J2","US7127041058","NASDAQ"
"F","F MOTOR","Equity","0.29","11.64","4,283,668.00","49,861,895.52","49,861,895.52","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"HUN","HUNTSMAN CORP.","Equity","0.29","24.54","2,000,497.00","49,092,196.38","49,092,196.38","Materials","B0650B9","US4470111075","New York Stock Exchange Inc."
"CMC","COMMERCIAL METALS CO.","Equity","0.25","19.13","2,251,285.00","43,067,082.05","43,067,082.05","Materials","2213260","US2017231034","New York Stock Exchange Inc."
"SPLS","STAPLES INC","Equity","0.24","8.77","4,746,604.00","41,627,717.08","41,627,717.08","Consumer Discretionary","2841489","US8550301027","NASDAQ"
"RRD","RR DONNELLEY AND SONS","Equity","0.24","12.11","3,337,082.00","40,412,063.02","40,412,063.02","Industrials","BYND5W0","US2578672006","New York Stock Exchange Inc."
"FNB","FNB CORP","Equity","0.23","14.87","2,693,254.00","40,048,686.98","40,048,686.98","Financials","2041308","US3025201019","New York Stock Exchange Inc."
"USD","USD CASH","Cash","0.23","100.00","40,040,109.00","40,040,109.43","40,040,109.43","Cash and/or Derivatives","-","-","-"
"VLY","VALLEY NATIONAL BANCORP","Equity","0.22","11.80","3,141,137.00","37,065,416.60","37,065,416.60","Financials","2935326","US9197941076","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.12","1.00","20,928,879.00","20,928,879.05","20,928,879.05","Cash and/or Derivatives","-","US0669224778","-"
"UBFUT","CASH COLLATERAL USD UBFUT","Cash Collateral and Margins","0.01","100.00","2,545,200.00","2,545,200.00","2,545,200.00","Cash and/or Derivatives","-","-","-"
"ESM7","S&P500 EMINI JUN 17","Futures","0.00","2,359.20","504.00","0.00","59,451,840.00","Cash and/or Derivatives","-","-","Index And Options Market"
 
